sampleID	dip_depth	ref_genome	settings
LP0030_03_L004	-2.33	0memhg38	TrueDI26830XA
LP0020_03	-0.29	0memhg38	TrueDI26830XA
LP0020_06	0.25	0memhg38	TrueDI26830XA
LP0025_07_L004	-0.09	0memhg38	TrueDI26830XA
LP0025_12_L003	0.37	0memhg38	TrueDI26830XA
LP0025_17_L003	0.78	0memhg38	TrueDI26830XA
LP0026_22_L003	-1.18	0memhg38	TrueDI26830XA
LP0025_05_L003	-1.56	0memhg38	TrueDI26830XA
LP0027_39_L003	-0.05	0memhg38	TrueDI26830XA
LP0025_03_L003	0.1	0memhg38	TrueDI26830XA
LP0020_07	-0.48	0memhg38	TrueDI26830XA
LP0026_05_L003	0.85	0memhg38	TrueDI26830XA
LP0025_01_L004	0.09	0memhg38	TrueDI26830XA
LP0025_21_L004	-0.28	0memhg38	TrueDI26830XA
LP0027_26_L003	-1.87	0memhg38	TrueDI26830XA
LP0020_08	0.87	0memhg38	TrueDI26830XA
LP0027_35_L003	-0.99	0memhg38	TrueDI26830XA
LP0026_42_L004	-1.46	0memhg38	TrueDI26830XA
LP0026_38_L004	-1.15	0memhg38	TrueDI26830XA
LP0025_02_L004	-1.61	0memhg38	TrueDI26830XA
LP0026_08_L003	0.02	0memhg38	TrueDI26830XA
LP0025_10_L003	-2.16	0memhg38	TrueDI26830XA
LP0029_02_L004	1.45	0memhg38	TrueDI26830XA
LP0020_02	-1.26	0memhg38	TrueDI26830XA
LP0029_04_L003	0.98	0memhg38	TrueDI26830XA
LP0020_05	0.23	0memhg38	TrueDI26830XA
LP0026_26_L004	-1.82	0memhg38	TrueDI26830XA
LP0025_15_L003	0.29	0memhg38	TrueDI26830XA
LP0029_06_L003	0.46	0memhg38	TrueDI26830XA
LP0025_24_L003	0.2	0memhg38	TrueDI26830XA
LP0025_04_L004	-0.58	0memhg38	TrueDI26830XA
LP0026_07_L003	0.78	0memhg38	TrueDI26830XA
LP0029_05_L004	-0.27	0memhg38	TrueDI26830XA
LP0020_01	1.8	0memhg38	TrueDI26830XA
LP0025_08_L004	0.24	0memhg38	TrueDI26830XA
LP0020_04.sortByCoord	0.5	0memhg38	TrueDI26830XA
LP0028_01_L004	0.86	0memhg38	TrueDI26830XA
LP0025_11_L003	0.48	0memhg38noalt	False40
LP0025_06_L003	-0.22	0memhg38noalt	False40
LP0030_05_L004	0.19	0memhg38noalt	False40
LP0030_03_L004	-2.01	0memhg38noalt	False40
LP0020_03	0.33	0memhg38noalt	False40
LP0020_06	0.67	0memhg38noalt	False40
LP0025_07_L004	-0.44	0memhg38noalt	False40
LP0025_12_L003	0.04	0memhg38noalt	False40
LP0025_17_L003	1.32	0memhg38noalt	False40
LP0026_22_L003	-1.06	0memhg38noalt	False40
LP0025_05_L003	-1.5	0memhg38noalt	False40
LP0027_39_L003	0.32	0memhg38noalt	False40
LP0025_03_L003	-0.63	0memhg38noalt	False40
LP0020_07	-0.31	0memhg38noalt	False40
LP0026_05_L003	0.49	0memhg38noalt	False40
LP0025_01_L004	-0.04	0memhg38noalt	False40
LP0025_21_L004	0.13	0memhg38noalt	False40
LP0027_26_L003	-1.33	0memhg38noalt	False40
LP0020_08	0.93	0memhg38noalt	False40
LP0027_35_L003	-1.05	0memhg38noalt	False40
LP0026_42_L004	-1.04	0memhg38noalt	False40
LP0026_38_L004	-1.04	0memhg38noalt	False40
LP0025_02_L004	-1.63	0memhg38noalt	False40
LP0026_08_L003	0.0	0memhg38noalt	False40
LP0025_10_L003	-1.56	0memhg38noalt	False40
LP0029_02_L004	1.11	0memhg38noalt	False40
