sampleID	tMAD_vs_control	ref_genome	settings
LP0025_15_L003	0.0283782864739607	0memhg38	True40
LP0025_17_L003	0.013736663723063	0memhg38	True40
LP0025_21_L004	0.0648427044597916	0memhg38	True40
LP0025_24_L003	0.00892267043542995	0memhg38	True40
LP0026_05_L003	0.0132790475660306	0memhg38	True40
LP0026_07_L003	0.00752114821630661	0memhg38	True40
LP0026_08_L003	0.164340029009231	0memhg38	True40
LP0026_22_L003	0.0243321528506523	0memhg38	True40
LP0026_26_L004	0.052828415370774	0memhg38	True40
LP0026_38_L004	0.0461057204190054	0memhg38	True40
LP0026_42_L004	0.094206875	0memhg38	True40
LP0027_26_L003	0.0637637798652479	0memhg38	True40
LP0027_35_L003	0.0641079113237143	0memhg38	True40
LP0027_39_L003	0.0404407694147993	0memhg38	True40
LP0028_01_L004	0.0302387449092954	0memhg38	True40
